261	GOLGA6L22	440243
262	CETN3	1070
263	BTN3A1	11119
264	BTN3A2	11118
265	FRG2B	441581
266	CETN2	1069
267	CETN1	1068
268	STRIP1	85369
269	EMILIN2	84034
270	MYLK2	85366
271	OBSCN	84033
272	CIT	11113
273	ZCCHC3	85364
274	HIBADH	11112
275	ALG2	85365
276	MAGEB10	139422
277	TRIM5	85363
278	PPP4R3CP	139420
279	EMILIN1	11117
280	SYDE1	85360
281	FGFR1OP	11116
282	CFTR	1080
283	MAGT1	84061
284	RBM48	84060
285	DCAF8L1	139425
286	CEACAM8	1088
287	CCDC112	153733
288	CEACAM7	1087
289	UNC13C	440279
290	CEACAM3	1084
291	MALSU1	115416
292	CGB3	1082
293	CGA	1081
294	EIF2AK4	440275
295	FAM160A2	84067
296	TEX35	84066
297	PLEKHN1	84069
298	RGS8	85397
299	SLC10A7	84068
300	KIRREL2	84063
301	FAM207A	85395
302	DTNBP1	84062
303	TMEM222	84065
304	SMIM21	284274
305	HDHD2	84064
306	ZADH2	284273
307	OR6C65	403282
308	OR6C68	403284
309	C3orf30	152405
310	GOLGA8B	440270
311	ADGRV1	84059
312	IGSF11	152404
313	CEACAM4	1089
314	KATNAL1	84056
315	WDR54	84058
316	MND1	84057
317	SIGLEC15	284266
318	NSRP1	84081
319	ENKD1	84080
320	ZRANB3	84083
321	FAM153A	285596
322	ARL10	285598
323	CDNF	441549
324	ALDH16A1	126133
325	CPT1C	126129
326	FBXO30	84085
327	RAB6C	84084
328	FAM186B	84070
329	HORMAD1	84072
330	ARMC2	84071
331	IZUMO2	126123
332	PGAM4	441531
333	PRY2	442862
334	JOSD2	126119
335	BPY2B	442867
336	KBTBD7	84078
337	BPY2C	442868
338	C3orf20	84077
339	ANKRD27	84079
340	QRICH2	84074
341	MYCBPAP	84073
342	TKTL2	84076
343	FSCB	84075
344	TMEM192	201931
345	LOC107986533	107986533
346	LOC107986532	107986532
347	LOC107986531	107986531
348	UCN3	114131
349	SIGLEC11	114132
350	SLC2A13	114134
351	PODN	127435
352	CCDC18	343099
353	TCEANC2	127428
354	CNMD	11061
355	GLRA4	441509
356	SH2D7	646892
357	WWP2	11060
358	SOX30	11063
359	ZNF704	619279
360	DUS4L	11062
361	UBE2C	11065
362	CNTRL	11064
363	ANO3	63982
364	KIF21B	23046
365	PDS5B	23047
366	FNBP1	23048
367	SMG1	23049
368	OR10J5	127385
369	LOC729800	729800
370	MYT1L	23040
371	MON2	23041
372	PDXDC1	23042
373	TNIK	23043
374	C10orf10	11067
375	SNRNP35	11066
376	NEUROG3	50674
377	RAPGEF4	11069
378	RALYL	138046
379	CYB561D2	11068
380	ADGRG4	139378
381	CNTN4	152330
382	TMEM115	11070
383	C16orf74	404550
384	DUSP14	11072
385	SCGB1D4	404552
386	TRIM31	11074
387	TOPBP1	11073
388	CDC20B	166979
389	TPPP	11076
390	STMN2	11075
391	KRTCAP3	200634
392	RWDD4	201965
393	NMNAT2	23057
394	CLUAP1	23059
395	LRRN4	164312
396	ZHX3	23051
397	HGSNAT	138050
398	ENDOD1	23052
399	ZSWIM8	23053
400	HSFY1	86614
401	NCOA6	23054
402	LRRC56	115399
403	TRIOBP	11078
404	HSF2BP	11077
405	RER1	11079
406	SEPT10	151011
407	B4GAT1	11041
408	PIM2	11040
409	MID2	11043
410	SPTSSB	165679
411	TMCC1	23023
412	SPANXN4	441525
413	PDZRN3	23024
414	BUD23	114049
415	UNC13A	23025
416	MYO16	23026
417	CT45A5	441521
418	KDM1A	23028
419	RBM34	23029
420	PRIMPOL	201973
421	BAGE2	85319
422	BAGE4	85317
423	BAGE3	85318
424	PAQR8	85315
425	SNRNP200	23020
426	BAGE5	85316
427	PPIL4	85313
